Name,Tier,Type,Text,Flavor,Notes
War,T1,Persistent Event / War,"While War is in play, at the start of each turn, deal 10 damage to each character in an active zone on either side. Leaders are not in the active zone and are unaffected. After War has been in play through two of your turns, flip a coin at the start of each of your turns; on heads, War ends and is removed.",It starts at a border and ends at a grave.,"World-state War (carries the War keyword for 'while a War is in play' references). Active-zone-only attrition, both sides; Leaders exempt (separate slot). Self-removing burnout via coin flip from turn 2. No capture of its own. Anchor of the War family."
Holy War,T2,Persistent Event / Light / War,"When Holy War enters play, each player flips a coin; on heads, that player chooses one character they control, and it becomes War-Torn. While Holy War is in play, at the start of each turn, deal damage to each character in an active zone on either side: any character whose element includes Light (including Dark & Light hybrids) takes none; a character whose element is Dark and not also Light takes 20; all others take 10. Leaders are unaffected. After Holy War has been in play through four of your turns, flip a coin at the start of each of your turns; on heads, Holy War ends and is removed.",Every banner swears it fights for heaven.,"World-state Light War. Now a CAPTURING war: on entry each player coin-flips and on heads makes one of their own characters War-Torn - the involuntary-ish War-Torn source that makes attack-through-War-Torn (Illyego, Unbroken Will) matter. This coin-flip capture does NOT gate Kael's outlaw road (that's still Taken Prisoner only). Attrition: Light-including spared, pure-Dark 20, others 10. Holds longer than War (burnout from turn 4)."
Goblin War,T1,Persistent Event / War,"While Goblin War is in play, at the start of each turn, deal 10 damage to each non-Goblin character in an active zone on either side. Goblin characters and Leaders are unaffected. After Goblin War has been in play through two of your turns, flip a coin at the start of each of your turns; on heads, Goblin War ends and is removed.","They do not take ground. They take everything, slowly.","Affiliation-scoped War (carries the War keyword). Damages non-Goblin active-zone characters on both sides; Goblins and Leaders exempt - a payoff for a Goblin deck rather than a smaller Holy War. Same burnout as War (from turn 2). Taken Prisoner works during it normally. Default: 10 damage; confirm."
Crusade,T2,Persistent Event / Light,"Play only while Holy War is in play. While Holy War is in play, your Light characters have +10 ATK and +10 DEF.",The faithful do not fear the fire. They are the fire.,"Wartime-buff family (Holy-War-specific, Light-locked). Stacks with Holy War sparing Light - intended crusader payoff; watch in playtest."
Horde Frenzy,T2,Persistent Event,"Play only while a Goblin War is in play. While a Goblin War is in play, your Goblin characters have +10 ATK, and whenever one of your Goblin characters is KO'd, draw a card.",More. There are always more.,"Wartime-buff family (Goblin-War-specific, Goblin-locked). Stat + non-stat card draw on Goblin deaths (the expendable horde)."
Hardened Veterans,T3,Persistent Event,"Play only while a War is in play. While a War is in play, your Royal Army characters take no damage from War effects.",They have buried every kind of friend. War is just weather now.,"Wartime-buff family (any-war, Royal-Army-locked). Non-stat war-damage immunity - the strongest of the set; makes a war one-sided for a Royal Army deck. Flagged for balancing."
Rally to War,T2,Persistent Event,"Play only while a War is in play. While a War is in play, your characters in an active zone have +10 ATK.",The drum does not ask who wants to march.,"Wartime-buff family (any-war, your-side). Active-zone aggression aura - rewards attacking into the war you started (those characters also eat the war's attrition)."
The Broken March,T2,Persistent Event,"Play only while a War is in play. While The Broken March is in play, your War-Torn characters may attack. Once per turn, if you control two or more War-Torn characters, you may have them attack one target together, dealing damage to that target equal to the sum of their ATK.",The chains came off all at once.,"War archetype finisher - the War-Torn chain the sim said the war deck lacked. Overrides War-Torn's cannot-attack and grants a War-Torn chain (sum of ATK to one target) when 2+ are out. Pairs with Taken Prisoner, Holy War captures, A Man Bred for War, Illyego. Turns War-Torn from pure cost into a build-around payoff."
Metamorphosis,T1,Event,"Transform a T1 Wild you control into any T2 Wild in your hand. Does not use your transformation action. The new form keeps banked kills; its element becomes the new form's. Consumed on use.","Everything wild is also becoming something.","One-shot Wild-deck enabler: the any-to-any morph (no fixed lineage) that reaches the six T2 Wild terminals. Does not count as the turn's transformation action, so you can morph and transform the same turn. Destination must be in hand. Future special cards may unlock other transformations the same way. Added this session."
Close the Gates,T2,Persistent Event,"While in play, your Kaethlaan characters take no damage from World-state Wars.",The walls remember every siege they outlasted.,Kaethlaan war-attrition immunity (parallel to Hardened Veterans).
Reinforce the Front Lines,T1,Event,Heal one of your Kaethlaan characters 20.,"Fresh legs, fed and angry.",One-shot Kaethlaan heal.
War College,T2,Persistent Event,Your Royal Army characters require one fewer item to transform.,"Doctrine is just other people's deaths, written down.",Transform-cost reducer for the Royal Army climb.
Field Promotion,T1,Event,"Search your deck for a form one of your characters can transform into, reveal it, add it to your hand, then shuffle.",The fastest way up is to be the one they cannot spare.,Tutor: fetches the next form for a body you control. War-deck consistency.
War Effort,T1,Event,"Search your deck for a Destined or Faithless character, reveal it, add it to your hand, then shuffle.",Everyone serves. Some simply have not been asked yet.,Tutor: fetches a Kael (Destined) or Illyego (Faithless) character.
Warren Muster,T1,Event,"Search your deck for a Goblin character, reveal it, add it to your hand, then shuffle.",The warren always has another to send.,"Tutor: fetches a Goblin character. Goblin-deck consistency; parallels War Effort (affiliation-locked, slot cost). Added this session."
Call of the Wild,T1,Event,"Search your deck for a Wild character, reveal it, add it to your hand, then shuffle.",The wild does not answer a summons. It answers a hunger.,"Tutor: fetches a Wild character. Field Promotion cannot fetch Wild forms (they advance only via Metamorphosis), so this is how a Wild deck assembles the specific T2 terminal it will morph into. Added this session."
Conscription Order,T1,Event,"Search your deck for a Royal Army character, reveal it, add it to your hand, then shuffle.",The realm does not ask. It enlists.,"Tutor: fetches a Royal Army character. Loyalist climb consistency beyond the Divine Channel package (Call of the Channel). Affiliation-locked, slot cost. Added this session."
Truce,T1,Event,"No attacks can be declared until your next turn. (Your combat this turn and your opponent's next combat are both skipped.)",A line drawn in the mud that both sides pretend to honor.,"Protection / stall tool (balance-log Round 9). Pushes the win condition toward T4/terminals by letting late-game decks survive a rush; an aggressor never wants it (forfeits its own attack). Engine: sets skipCombat on both players. AI plays it defensively when out-boarded."
Sanctuary,T1,Event,"Until your next turn, a character you control cannot be attacked.",Some ground is older than the war and will outlast it.,"Protection family (balance-log Round 10). Single-target untargetable shield — surgical complement to Truce; protects one key climber/terminal/Leader. Engine: Unit.shielded, cleared at controller's next turn; excluded from attack + chain targeting."
Bulwark,T1,Event,"Until your next turn, a character you control has +30 DEF.",Set the shields. Let them break on us.,"Protection family (balance-log Round 10). Single-target +30 DEF — the cheaper mitigation; saves a body when raising DEF past the incoming hit is enough. Engine: Unit.tempDef, cleared at controller's next turn."
O'Donner Research Lab,T2,Persistent Event / O'Donner Research,"While in play, your O'Donner Research characters have +30 Max HP.",The sign still says Wellness Institute.,Plague engine anchor; +30 Max HP to your O'Donner Research (sustains fodder under Plague).
Patient Intake,T1,Event / Dark,"Search your deck for an O'Donner Research or Plagued character, reveal it, add it to hand, then shuffle.",Every door opens inward.,Plague character tutor (affil-locked).
Grant Proposal,T1,Event / Dark,"Search your deck for an O'Donner Research persistent event, reveal it, add it to hand, then shuffle.",The grant is approved.,Lab tutor (event tutor - sim approximates with Field Promotion; not wired as a char tutor).
Dispel,T2,Event,"Destroy a persistent event an opponent controls.",The world-state is not as permanent as it pretends.,Categorical persistent-event removal - the answer the engine lacked (strips Plague / the Lab / a War). Names no card (Mathematical Opposition). Added 2026-06-25.
