Name,Element,Tier,Terminal,HP,ATK,DEF,Affiliations,Ability Name,Ability Text,TransformIn,HasChain,ChainName,ChainSize,ChainAffiliation,ChainFormula,ChainExtras,Flavor,Notes
The King's Blade,Water,4,Y,70,80,30,"Royal Army, King's Court (Kaethlaan), Destined",The Crown's Edge,"The King's Blade may declare an attack against any opposing character or the opposing Leader, ignoring zone restrictions. While King Honathan is in play, The King's Blade has +20 ATK, and when The King's Blade KOs a character, draw a card.",Kael the Shadow,N,,,,,,"He has no name now — only an edge, and a hand the crown trusts to hold it.","Loyal-road terminal. Honathan's +10/+10 aura plus this rider stack; can snipe the Leader past defenders. Power-approved."
Kael the Captured,Water,2,N,40,30,10,"War-Torn, Destined",,,Swiftblade Kael + Taken Prisoner,N,,,,,,A former royal soldier captured by enemy during war. Biding his time to escape.,"Outlaw-road entry; diminished POW body, vanilla. Gated on Taken Prisoner (playable only while a War is in play). War-Torn (cannot attack) comes only from Taken Prisoner, not from the War cards themselves."
Kael the Runaway,Water,2,N,40,50,0,"Faithless, Destined",Masterless,Kael the Runaway cannot benefit from your affiliation auras.,Kael the Captured,N,,,,,,A former royal soldier who escaped to chase his own fate.,Outlaw road. Escape = a normal transformation (no extra event needed). Self-reliant: no aura benefit.
Kael the Killer,Water,3,N,50,70,0,"Mercenary, Faithless, Destined",Blood Money,"Kael the Killer gains +10 ATK for each kill he has banked (kills persist across transformations). Kael the Killer cannot benefit from your affiliation auras.",Kael the Runaway,N,,,,,,A notorious criminal who kills for the highest bidder.,"Outlaw road. Uncapped kill-scaling, but DEF 0 and fragile. Power-approved."
The Silent,Water,4,Y,60,90,10,"Wandering, Faithless, Destined",The Worthy Opponent,"The Silent must be declared as an attacker each combat phase if able. The Silent may target opposing passive-zone characters, and deals +20 damage to characters with ATK 50 or higher. The Silent cannot benefit from your affiliation auras.",Kael the Killer,N,,,,,,"The most renowned swordsman in all the land, seeking a worthy opponent.","Outlaw-road terminal. Highest base ATK in the game (90); forced-attack downside. Power-approved."
"Kael, Arlia's Husband",Water,3,Y,TBD,TBD,TBD,"Sworn, Destined",TBD,"TBD - married synergy with Arlia, Kael's Wife",Swiftblade Kael + Arlia at T2 (marriage / paired),N,,,,,,A boy from the streets with a changed perspective on life. Says every day is a gift.,Love road; terminal at peace. Exits to Mourning Widower if wife dies.
"Mourning Widower, Kael",Water,3,Y,TBD,TBD,TBD,"Forsaken, Destined",TBD,TBD,"Kael, Arlia's Husband (when Arlia, Kael's Wife dies)",N,,,,,,"With his wife dead, Kael has sworn to avenge her. He fights with abandon as he has nothing left to lose.",Love road; terminal dead-end
Second in Command Kael,Water,2,Y,50,30,20,"Royal Army, Destined",At Her Side,"While you control Arlia, you may redirect attacks declared at Arlia to Second in Command Kael, and Second in Command Kael has +10 ATK and +10 DEF.","Swiftblade Kael, while you control Arlia at T3 or higher (Arlia is not consumed)",N,,,,,,Arlia's second and confidant. He is loyal to a fault and refuses to consider disobedience.,Subordinate-road T2 terminal. Presence-gated transform — no paired-transform rule needed. Bodyguard-redirect echoes Squire Arlia's Me for You.
King Honathan of Kaethlaan,Light,4,Y,90,40,50,"Royal Army, Kaethlaan Knights, King's Court (Kaethlaan)",The Crown's Command,"Play requirement: you control at least two other Kaethlaan characters. While King Honathan is in play, your Royal Army and King's Court (Kaethlaan) characters have +10 ATK and +10 DEF. Leader rule: while you control a Royal Army character, King Honathan cannot be attacked.",,Y,Rally the Realm,2-3,Royal Army,Deal damage equal to the sum of all ATK +20.,,Forty years he has kept the hearth lit. Pray you never learn what it cost him.,First non-Arlia character. Standalone T4 capstone (no transform-in). Affiliations and ability key off Royal Army; also a Kaethlaan Knight and head of the King's Court. Activates Captain Arlia's My Liege.
Thestral,Dark,1,Y,20,20,0,Wild,,,,N,,,,,,Only those who have seen death can see them coming.,Single-form wild creature; cheap Dark body for filler/opposition and Light-vs-Dark testing.
Lor'oak Goblin Grunt,Earth,1,N,30,20,10,Goblin,,,,N,,,,,,Numbers were always Lor'oak's only plan.,Base form of the T2-terminal tribal line; cheap fast play. Upgrade path printed on the Commander.
Lor'oak Goblin Commander,Earth,2,Y,50,30,20,Goblin,,,Lor'oak Goblin Grunt,Y,Rush,2,Goblin,Deal damage equal to the sum of all ATK vs target's DEF.,Active zone only.,Forward. Always forward. There are always more.,T2 terminal; canonical low-tier chain example from Combat & Effects. Validates creatures-as-Leaders and lowest-tier chains.
"Illyego, the Orphan",Dark,1,N,20,20,0,Faithless,War Child,Illyego may attack even while War-Torn.,,N,,,,,,He does not remember a year without a war in it.,"Common side-character line; attack-through-War-Torn is his identity. Needs an involuntary War-Torn source to matter (Holy War coin-flip capture)."
"Illyego, the Soldier",Dark,2,N,40,40,10,"Mercenary, Faithless",War Child,Illyego may attack even while War-Torn.,"Illyego, the Orphan (only while a War is in play)",N,,,,,,They handed him a spear before he could spell his name.,Child-soldier phase. Conscription-gated: transform only while a War is in play.
"Illyego, the Conqueror",Dark,3,Y,60,60,20,Faithless,War Child,"Illyego may attack even while War-Torn. Illyego, the Conqueror has +10 ATK while a War is in play.","Illyego, the Soldier (after Illyego has banked 3 kills)",N,,,,,,He stopped waiting for the war to end and made it his.,"Terminal. Self-made warlord, not a hireling - Faithless (his own master), not Mercenary. Kill-gated transform."
"The Acolyte Illyego",Light,3,Y,60,40,30,Wandering,At Peace,The Acolyte Illyego cannot become War-Torn.,"Illyego, the Soldier + Disillusioned",N,,,,,,He buried the spear at a shrine and did not dig it up.,"Terminal redemption branch (Light). Reuses the Disillusioned wanderer gate. Sheds War Child - he has left war behind."
Goblin Soldier,Earth,1,N,30,20,10,Goblin,,,,N,,,,,,One of many. That is the point.,Common Goblin body; generic rank line (not Lor'oak). Base of Soldier -> Lieutenant -> Captain.
Goblin Lieutenant,Earth,2,N,40,30,20,Goblin,,,Goblin Soldier,N,,,,,,Promoted by surviving.,Mid-rank generic Goblin.
Goblin Captain,Earth,3,Y,60,40,30,Goblin,Command,"While Goblin Captain is in play, your other Goblin characters have +10 ATK.",Goblin Lieutenant,N,,,,,,He counts heads before a battle and after. The numbers rarely match.,Terminal generic-Goblin commander; aura only (chains stay special to the Lor'oak line).
Barangrang,Wind,1,Y,20,10,10,Wild,,,,N,,,,,,Gone before you finish blinking.,Common Wild creature; single-form T1 terminal.
Murlifect,Earth,1,Y,20,20,10,Wild,Regrow,"At the start of your turn, Murlifect heals 10.",,N,,,,,,Take a piece; it grows two back.,Common Wild creature; sticky regen body.
Cinderpel,Fire,1,Y,20,20,0,Wild,,,,N,,,,,,A coal that learned to run.,Common Wild creature.
Tidewhisk,Water,1,Y,20,10,10,Wild,,,,N,,,,,,It laughs in a language of bubbles.,Common Wild creature.
Glimmermoth,Light,1,Y,10,10,20,Wild,,,,N,,,,,,Drawn to every lantern; burned by none.,Common Wild creature; cheap defensive body.
Bogfang,Earth,1,Y,30,20,0,Wild,,,,N,,,,,,The swamp grew teeth.,Common Wild creature; aggressive.
Sootcrawler,Dark,1,Y,20,20,0,Wild,,,,N,,,,,,It lives where the fire has been.,Common Wild creature.
Pyrnit,Fire,1,Y,10,30,0,Wild,,,,N,,,,,,"Small, furious, briefly.",Common Wild creature; glass-cannon.
Frostnip,Water,1,Y,20,10,10,Wild,,,,N,,,,,,A cold little nip in the dark.,Common Wild creature.
Galewing,Wind,1,Y,30,20,10,Wild,,,,N,,,,,,It rides the storm it makes.,Common Wild creature.
Stoneback,Earth,1,Y,30,10,20,Wild,,,,N,,,,,,Patience with a shell.,Common Wild creature; cheap wall.
Lumenkit,Light,1,Y,20,10,10,Wild,Warmth,"When Lumenkit enters play, heal one of your characters 10.",,N,,,,,,A small warmth that follows you home.,Common Wild creature; tiny support.
"Touched Child Hresheeba",Light,1,N,20,10,10,Attuned,,,,N,,,,,,A child who answers questions no one asked aloud.,Base of Hresheeba's 2-tier line (kept short so the enabler lands fast). Upgrades to Old Maid Hresheeba.
"Old Maid Hresheeba",Light,2,Y,40,10,20,"Divine Channel, Attuned",Keeper of the Channel,"While Old Maid Hresheeba is in play, your Divine Channel chains may be initiated with one fewer participant (minimum 1).",Touched Child Hresheeba,N,,,,,,She has kept the door so long she has forgotten which side she is on.,"2-tier terminal enabler (fast to deploy). Second Divine Channel body and reduces Divine Channel chain size by 1, so The Channel can assemble (or fire solo). Fetchable by Call of the Channel. Fixes assembly, not The Ascended's arrival."
Channel Being,Light,1,Y,20,10,10,Divine Channel,,,,N,,,,,,Not a person. A doorway that learned to stand up.,"Generic Divine Channel body (run multiples) to assemble The Channel chain. Single-form T1; spared by Holy War (Light)."
"A Man Bred for War",Earth,3,Y,60,40,30,Mercenary,Forged in Chains,"While A Man Bred for War is War-Torn, he may attack, and he has +20 ATK and +20 DEF.",,N,,,,,,They made him for one thing. Then they were surprised by it.,"War-Torn payoff: capture him (Taken Prisoner / Holy War) to turn the downside into a buff. Standalone T3."
Embermaw,Fire,2,Y,40,40,10,Wild,Searing Arrival,"When Embermaw enters play, deal 10 damage to one opposing active-zone character.",Any T1 Wild + Metamorphosis,N,,,,,,The coal grew a mouth.,T2 Wild terminal reached only via Metamorphosis; entry burn. Added this session.
Craghide,Earth,2,Y,60,20,30,Wild,Regrow,"At the start of your turn, Craghide heals 10.",Any T1 Wild + Metamorphosis,N,,,,,,Older than the road that bends around it.,T2 Wild terminal; sticky wall reusing the Regrow heal-over-time. Added this session.
Skirrl,Wind,2,Y,40,30,10,Wild,,,Any T1 Wild + Metamorphosis,Y,Gust,2,Wild,Deal damage equal to the sum of all ATK vs target's DEF.,Active zone only.,A gust that picked a direction.,T2 Wild terminal; lowest-tier Wild chain (Chain 2 Wild active only). Added this session.
Tidewretch,Water,2,Y,50,30,20,Wild,,,Any T1 Wild + Metamorphosis,N,,,,,,It remembers being a river.,T2 Wild terminal; balanced body. Added this session.
Hollowed Stag,Light,2,Y,40,20,30,Wild,Tending Light,"When Hollowed Stag enters play, heal one of your characters 10.",Any T1 Wild + Metamorphosis,N,,,,,,Antlers like a chapel with no roof.,T2 Wild terminal; entry-heal support. Added this session.
Gravecreep,Dark,2,Y,40,40,0,Wild,,,Any T1 Wild + Metamorphosis,N,,,,,,What the battlefield keeps.,T2 Wild terminal; fragile aggro. Added this session.
